text,reference_text,speaker_id,duration,inference_time,sample_index
云高和能见度5线,云高和能见度无限,unknown,nan,2.3108997344970703,0
好天气,好天气,unknown,nan,0.6619603633880615,1
呃避空,呃碧空,unknown,nan,0.8006610870361328,2
天气不清了,天气不晴朗,unknown,nan,0.7933590412139893,3
请求天气情况,请求天气情况,unknown,nan,0.7769448757171631,4
请求航路预报,请求航路预报,unknown,nan,0.9770221710205078,5
下2个小时不会转好,下两个小时不会转好,unknown,nan,1.0117230415344238,6
天气情况逐渐转好,天气情况逐渐转好,unknown,nan,1.0935332775115967,7
4018跑道02右地面风30度,4018跑道02右地面风30度,unknown,nan,1.1336114406585693,8
2到6米每秒能见度6公里场压710,26米每秒能见度6公里场压710,unknown,nan,1.4939422607421875,9
4018高度12通场,4018高度12通场,unknown,nan,0.8880963325500488,10
进台上空加入右起落4018场五边着陆,近台上空加入右起落4018长五边着落,unknown,nan,1.4485547542572021,11
4018起飞15分计换航线,4018起飞15分计计划航线,unknown,nan,1.366485357284546,12
直线爬升场高900,直线爬升场高900,unknown,nan,1.0075337886810303,13
左转普江上标高4过,左转浦江上标高45,unknown,nan,1.1592521667480469,14
联系成都进近频率1192我,联系成都近进频率11925,unknown,nan,1.2513272762298584,15
加速滑行,加速滑行,unknown,nan,0.7804069519042969,16
太强弯,抬前轮,unknown,nan,0.8322873115539551,17
两点姿势大,两点姿势大,unknown,nan,0.9228816032409668,18
保持方向不要偏左,保持方向不要偏左,unknown,nan,0.969447135925293,19
带杆带杆上升高度,带杆带杆上升高度,unknown,nan,1.2877273559570312,20
稳干正爽,稳杆增速,unknown,nan,0.8733782768249512,21
下滑线太高,下滑线太高,unknown,nan,0.8902356624603271,22
下滑点靠前,下滑点靠前,unknown,nan,0.9111018180847168,23
检查下滑速度,检查下滑速度,unknown,nan,0.9574241638183594,24
拉开始动作融合,拉开始动作柔和,unknown,nan,0.9169774055480957,25
看地面,看地面,unknown,nan,0.660836935043335,26
注意状态,注意状态,unknown,nan,0.795701265335083,27
